Frame	Tempo (s)	Emoção
419	13.97	sad
420	14.00	sad
421	14.03	sad
422	14.07	sad
423	14.10	sad
424	14.13	sad
425	14.17	sad
426	14.20	sad
427	14.23	sad
428	14.27	sad
429	14.30	sad
430	14.33	sad
431	14.37	sad
432	14.40	happy
433	14.43	sad
434	14.47	sad
435	14.50	sad
436	14.53	sad
437	14.57	sad
438	14.60	sad
439	14.63	sad
440	14.67	sad
441	14.70	sad
442	14.73	sad
443	14.77	sad
444	14.80	sad
445	14.83	sad
446	14.87	sad
447	14.90	sad
448	14.93	sad
449	14.97	sad
450	15.00	sad
451	15.03	sad
452	15.07	sad
453	15.10	sad
454	15.13	sad
455	15.17	sad
456	15.20	sad
457	15.23	sad
458	15.27	sad
459	15.30	sad
460	15.33	sad
461	15.37	sad
462	15.40	sad
463	15.43	sad
464	15.47	sad
465	15.50	sad
466	15.53	sad
467	15.57	sad
468	15.60	sad
469	15.63	sad
470	15.67	sad
471	15.70	sad
472	15.73	sad
473	15.77	sad
474	15.80	sad
475	15.83	sad
476	15.87	sad
477	15.90	sad
478	15.93	sad
479	15.97	sad
480	16.00	sad
481	16.03	sad
482	16.07	sad
483	16.10	sad
484	16.13	sad
485	16.17	sad
486	16.20	sad
487	16.23	sad
488	16.27	sad
489	16.30	fear
490	16.33	fear
491	16.37	sad
492	16.40	sad
493	16.43	sad
494	16.47	sad
495	16.50	sad
496	16.53	sad
497	16.57	sad
498	16.60	sad
499	16.63	sad
500	16.67	sad
501	16.70	sad
502	16.73	sad
503	16.77	sad
504	16.80	sad
505	16.83	sad
506	16.87	sad
507	16.90	sad
508	16.93	sad
509	16.97	sad
510	17.00	sad
511	17.03	sad
512	17.07	sad
513	17.10	sad
514	17.13	sad
515	17.17	sad
516	17.20	sad
517	17.23	neutral
518	17.27	neutral
519	17.30	neutral
520	17.33	neutral
521	17.37	neutral
522	17.40	neutral
523	17.43	neutral
524	17.47	neutral
525	17.50	neutral
526	17.53	neutral
527	17.57	neutral
528	17.60	neutral
529	17.63	neutral
530	17.67	neutral
531	17.70	neutral
532	17.73	neutral
533	17.77	neutral
534	17.80	neutral
535	17.83	neutral
536	17.87	neutral
537	17.90	neutral
538	17.93	neutral
539	17.97	neutral
540	18.00	angry
541	18.03	angry
542	18.07	angry
543	18.10	angry
544	18.13	angry
545	18.17	angry
546	18.20	fear
547	18.23	neutral
548	18.27	fear
549	18.30	fear
550	18.33	angry
551	18.37	angry
552	18.40	angry
553	18.43	fear
554	18.47	surprise
555	18.50	sad
556	18.53	sad
557	18.57	sad
558	18.60	sad
559	18.63	sad
560	18.67	neutral
561	18.70	neutral
562	18.73	fear
563	18.77	sad
564	18.80	neutral
565	18.83	sad
566	18.87	happy
567	18.90	happy
568	18.93	happy
569	18.97	happy
570	19.00	fear
571	19.03	neutral
572	19.07	neutral
573	19.10	fear
574	19.13	fear
575	19.17	happy
576	19.20	fear
577	19.23	fear
578	19.27	fear
579	19.30	fear
580	19.33	fear
581	19.37	fear
582	19.40	fear
583	19.43	neutral
584	19.47	fear
585	19.50	sad
586	19.53	happy
587	19.57	fear
588	19.60	fear
589	19.63	fear
590	19.67	happy
591	19.70	happy
592	19.73	sad
593	19.77	surprise
594	19.80	fear
595	19.83	happy
596	19.87	surprise
597	19.90	surprise
598	19.93	sad
599	19.97	fear
600	20.00	neutral
601	20.03	neutral
602	20.07	surprise
603	20.10	surprise
604	20.13	happy
605	20.17	neutral
606	20.20	neutral
607	20.23	happy
608	20.27	neutral
609	20.30	neutral
610	20.33	happy
611	20.37	fear
612	20.40	neutral
613	20.43	neutral
614	20.47	neutral
615	20.50	sad
616	20.53	sad
617	20.57	sad
618	20.60	sad
619	20.63	sad
620	20.67	fear
621	20.70	neutral
622	20.73	neutral
623	20.77	neutral
624	20.80	neutral
625	20.83	neutral
626	20.87	neutral
627	20.90	neutral
628	20.93	neutral
629	20.97	neutral
630	21.00	neutral
631	21.03	fear
632	21.07	neutral
633	21.10	neutral
634	21.13	neutral
635	21.17	neutral
636	21.20	neutral
637	21.23	happy
638	21.27	fear
639	21.30	fear
640	21.33	fear
641	21.37	fear
642	21.40	fear
643	21.43	fear
644	21.47	fear
645	21.50	fear
646	21.53	fear
647	21.57	fear
648	21.60	fear
649	21.63	fear
650	21.67	fear
651	21.70	fear
652	21.73	fear
653	21.77	angry
654	21.80	angry
655	21.83	angry
656	21.87	angry
657	21.90	angry
658	21.93	fear
659	21.97	angry
660	22.00	neutral
661	22.03	neutral
662	22.07	neutral
663	22.10	sad
664	22.13	sad
665	22.17	sad
666	22.20	neutral
667	22.23	sad
668	22.27	angry
669	22.30	happy
670	22.33	happy
671	22.37	sad
672	22.40	sad
673	22.43	sad
674	22.47	neutral
675	22.50	fear
676	22.53	fear
677	22.57	neutral
678	22.60	sad
679	22.63	angry
680	22.67	angry
681	22.70	angry
682	22.73	angry
683	22.77	angry
684	22.80	angry
685	22.83	angry
686	22.87	angry
687	22.90	angry
688	22.93	fear
689	22.97	angry
690	23.00	angry
691	23.03	angry
692	23.07	fear
693	23.10	fear
694	23.13	fear
695	23.17	fear
696	23.20	fear
697	23.23	fear
698	23.27	fear
699	23.30	fear
700	23.33	fear
701	23.37	fear
702	23.40	fear
703	23.43	fear
704	23.47	fear
705	23.50	fear
706	23.53	happy
707	23.57	happy
708	23.60	happy
709	23.63	happy
710	23.67	fear
711	23.70	fear
712	23.73	fear
713	23.77	fear
714	23.80	sad
715	23.83	fear
716	23.87	fear
717	23.90	fear
718	23.93	fear
719	23.97	fear
720	24.00	neutral
721	24.03	neutral
722	24.07	happy
723	24.10	neutral
724	24.13	neutral
725	24.17	neutral
726	24.20	neutral
727	24.23	happy
728	24.27	neutral
729	24.30	neutral
730	24.33	happy
731	24.37	neutral
732	24.40	happy
733	24.43	neutral
734	24.47	neutral
735	24.50	neutral
736	24.53	neutral
737	24.57	neutral
738	24.60	neutral
739	24.63	neutral
740	24.67	neutral
741	24.70	neutral
742	24.73	neutral
743	24.77	neutral
744	24.80	neutral
745	24.83	neutral
746	24.87	neutral
747	24.90	neutral
748	24.93	neutral
749	24.97	neutral
750	25.00	neutral
751	25.03	neutral
752	25.07	neutral
753	25.10	neutral
754	25.13	neutral
755	25.17	neutral
756	25.20	neutral
757	25.23	neutral
758	25.27	neutral
759	25.30	neutral
760	25.33	neutral
761	25.37	neutral
762	25.40	neutral
763	25.43	neutral
764	25.47	neutral
765	25.50	neutral
766	25.53	neutral
767	25.57	neutral
768	25.60	neutral
769	25.63	neutral
770	25.67	neutral
771	25.70	neutral
772	25.73	neutral
773	25.77	neutral
774	25.80	neutral
775	25.83	neutral
776	25.87	neutral
777	25.90	neutral
778	25.93	neutral
779	25.97	neutral
780	26.00	neutral
781	26.03	neutral
782	26.07	neutral
783	26.10	neutral
784	26.13	neutral
785	26.17	neutral
786	26.20	neutral
787	26.23	neutral
788	26.27	neutral
789	26.30	neutral
790	26.33	neutral
791	26.37	neutral
792	26.40	neutral
793	26.43	neutral
794	26.47	neutral
795	26.50	neutral
796	26.53	neutral
797	26.57	neutral
798	26.60	neutral
799	26.63	neutral
800	26.67	neutral
801	26.70	neutral
802	26.73	neutral
803	26.77	neutral
804	26.80	neutral
805	26.83	neutral
806	26.87	neutral
807	26.90	happy
808	26.93	neutral
809	26.97	neutral
810	27.00	neutral
811	27.03	neutral
812	27.07	neutral
813	27.10	neutral
814	27.13	neutral
815	27.17	neutral
816	27.20	neutral
817	27.23	neutral
818	27.27	neutral
819	27.30	neutral
820	27.33	neutral
821	27.37	neutral
822	27.40	neutral
823	27.43	neutral
824	27.47	neutral
825	27.50	neutral
826	27.53	happy
827	27.57	neutral
828	27.60	neutral
829	27.63	happy
830	27.67	happy
831	27.70	neutral
832	27.73	neutral
833	27.77	neutral
834	27.80	neutral
835	27.83	neutral
836	27.87	neutral
837	27.90	neutral
838	27.93	happy
839	27.97	happy
840	28.00	happy
841	28.03	happy
842	28.07	happy
843	28.10	happy
844	28.13	happy
845	28.17	happy
846	28.20	happy
847	28.23	happy
848	28.27	happy
849	28.30	happy
850	28.33	happy
851	28.37	happy
